original,converted
NC,N
G-7,G:min7
C7,C:7
A-7,A:min7
Bbj7,Bb:maj7
Bo,B:dim
Ebj7,Eb:maj7
Bj7,B:maj7
C#-7,C#:min7
C-7,C:min7
