original,converted
Dbj7,Db:maj7
F-7,F:min7
C79b,C:7(b9)
F-,F:min
Bb-7,Bb:min7
Gm7b5,G:hdim7
Eb7,Eb:7
Bb-79,Bb:min9
Ab7,Ab:7
F-j7,F:minmaj7
