original,converted
G+7,G:aug(b7)
Cj7,C:maj7
C+7,C:aug(b7)
Dm7b5,D:hdim7
Bb+7,Bb:aug(b7)
Gm7b5,G:hdim7
C-7,C:min7
Fm7b5,F:hdim7
NC,N
G7,G:7
