original,converted
A:bVI,F:maj
A:I,A:maj
A:V7/vi,C#:7
Bb:V,F:maj
A:V,E:maj
Bb:I,Bb:maj
Bb:bVI,Gb:maj
A:R,A:R
A:IV,D:maj
