original,converted
A:V11,E:9(4)
A:IV6,D:maj/3
A:I64,A:maj/5
A:I,A:maj
A:V,E:maj
G:V6,D:maj/3
G:IV,C:maj
A:vi,F#:min
G:ii,A:min
A:V/ii,F#:maj
