original,converted
Bb:I6,Bb:maj/3
Bb:IV,Eb:maj
Bb:V,F:maj
Bb:I,Bb:maj
Bb:R,Bb:R
Bb:iii,D:min
Bb:Vs4,"F:(*3,4,*5)"
