original,converted
F:iii,A:min
F:vi,D:min
F:IV,Bb:maj
F:VId9,D:9
F:I,F:maj
F:V,C:maj
F:iv6,Bb:min/b3
F:ii,G:min
F:iii7,A:min7
F:ii9,G:min9
