original,converted
Db:IV,Gb:maj
Db:I,Db:maj
Db:V6,Ab:maj/3
Db:V,Ab:maj
Db:vi,Bb:min
Db:I64,Db:maj/5
Db:V7/IV,Db:7
Db:V7/V,Eb:7
