original,converted
G:I,G:maj
A:I,A:maj
C:V42/IV,C:7/b7
Bb:I,Bb:maj
G:V42/IV,G:7/b7
C:I,C:maj
A:V42/IV,A:7/b7
Bb:V42/IV,Bb:7/b7
