original,converted
E:ii,F#:min
E:ii7,F#:min7
E:I64,E:maj/5
E:iv/ii,B:min
E:bVI64/ii,Db:maj/5
A:I64,A:maj/5
E:IV,A:maj
E:viix42,"D#:(*3,4,4,*5,b9)"
E:I6,E:maj/3
E:bIII,G:maj
