original,converted
Bb:V/ii,G:maj
Bb:IV,Eb:maj
B:ii,C#:min
Bb:ii,C:min
Bb:viix43/V,"E:(b3,4,4,*5)"
Bb:I,Bb:maj
Bb:VII,A:maj
0:I,0:I
0:V,0:V
B:I,B:maj
