original,converted
F:I,F:maj
F:vi7,D:min7
F:bVII,Eb:maj
F:IV,Bb:maj
F:V,C:maj
F:vi,D:min
F:V9,C:9
F:V6,C:maj/3
F:V/vi,A:maj
