original,converted
Ab:bVII,Gb:maj
Ab:bIII,Cb:maj
Ab:iv,Db:min
Ab:bVId7,Fb:7
Ab:i,Ab:min
Ab:V7,Eb:7
Ab:bV,Ebb:maj
Ab:iv7,Db:min7
Ab:V42/bVI,Cb:7/b7
