original,converted
G:II,A:maj
E:I,E:maj
E:IV,A:maj
E:V,B:maj
G:IV,C:maj
E:IV64,A:maj/5
E:vi64,C#:min/5
E:ii7,F#:min7
G:V,D:maj
E:V/V,F#:maj
