original,converted
Eb:ii,F:min
Eb:IV64,Ab:maj/5
Eb:IV,Ab:maj
Eb:V,Bb:maj
Eb:V6,Bb:maj/3
Eb:vi,C:min
Eb:I,Eb:maj
Eb:V6/V,F:maj/3
Eb:vi42,C:min7/b7
Eb:iii,G:min
