original,converted
F:bVII,Eb:maj
F:i,F:min
F:bVI,Db:maj
F:iv6,Bb:min/b3
F:IV,Bb:maj
F:IV6,Bb:maj/3
F:bIII,Ab:maj
F:v6,C:min/b3
F:V,C:maj
F:V6,C:maj/3
