original,converted
G:IV64,C:maj/5
G:V,D:maj
G:IV64/IV,F:maj/5
G:IV,C:maj
G:V/vi,B:maj
G:I,G:maj
G:iii,B:min
G:vi,E:min
G:Vs4/vi,"B:(*3,4,*5)"
