original,converted
E:V6,B:maj/3
E:ii,F#:min
E:I,E:maj
E:V,B:maj
E:V/V,F#:maj
E:IV6,A:maj/3
E:IV,A:maj
E:V7,B:7
E:ii42,F#:min7/b7
