original,converted
B:V11,F#:9(4)
B:V7,F#:7
B:iii,D#:min
B:V/iii,A#:maj
B:III7,D#:7
B:I,B:maj
B:iv,E:min
B:bVII,A:maj
B:V7/IV,B:7
B:IV,E:maj
