original,converted
C:IV6,F:maj/3
C:I,C:maj
C:V,G:maj
C:IV,F:maj
C:iii,E:min
C:ii,D:min
C:IV42,F:maj7/7
C:vi7,A:min7
C:bIII,Eb:maj
D:I,D:maj
