original,converted
Db:IV,Gb:maj
Ab:i,Ab:min
Ab:ii,Bb:min
F#:bIII,A:maj
Db:V,Ab:maj
Db:I,Db:maj
Ab:I,Ab:maj
Db:II7,Eb:7
F#:I,F#:maj
Ab:vi,F:min
