original,converted
Db:V,Ab:maj
Db:I,Db:maj
Db:V64,Ab:maj/5
Db:IV,Gb:maj
Db:R,Db:R
Db:ii,Eb:min
Db:Id9,Db:maj9
Db:I64,Db:maj/5
Db:iii,F:min
