original,converted
C:vi7,A:min7
C:I,C:maj
C:V64,G:maj/5
C:V,G:maj
C:vi9,A:min9
C:vi,A:min
C:IV,F:maj
C:I6,C:maj/3
C:V65/vi,E:7/3
C:IV64,F:maj/5
