key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Ab	[22.75, 9.25, 1.0, 60.5, 0.0, 7.0, 0.0, 14.0, 42.5, 0.0, 19.5, 0.0]	0.0	38.5	38.5	1	13	12
bb	[1.0, 6.0, 0.0, 2.5, 0.0, 11.0, 0.5, 0.0, 0.0, 1.5, 12.0, 0.0]	38.5	44.5	6.0	13	15	2
Ab	[3.5, 1.5, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0, 4.5, 0.0, 2.5, 0.0]	44.5	49.5	5.0	15	17	2
bb	[2.0, 6.0, 0.0, 4.0, 0.0, 14.5, 0.5, 0.0, 0.0, 3.0, 10.0, 0.0]	49.5	56.5	7.0	17	19	2
Ab	[11.5, 9.0, 0.5, 33.0, 1.0, 6.0, 3.0, 5.5, 21.0, 1.5, 10.5, 0.0]	56.5	78.0	21.5	19	26	7
Cb	[0.0, 15.0, 0.0, 14.0, 5.5, 0.0, 43.5, 1.5, 2.0, 0.0, 14.0, 23.5]	78.0	101.5	23.5	27	34	7
db	[1.5, 12.0, 0.0, 1.0, 6.0, 0.0, 2.5, 0.0, 11.0, 0.5, 0.0, 0.0]	101.5	107.5	6.0	34	36	2
Cb	[0.0, 2.0, 0.0, 3.5, 1.5, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0, 4.5]	107.5	112.5	5.0	36	38	2
db	[3.25, 10.5, 0.0, 2.5, 5.0, 0.0, 4.5, 0.0, 13.0, 0.5, 0.25, 0.0]	112.5	119.5	7.0	38	40	2
Cb	[1.5, 13.0, 0.0, 12.0, 12.0, 0.5, 34.0, 1.0, 9.5, 1.5, 8.5, 20.5]	119.5	144.0	24.5	40	48	8
Ab	[13.5, 2.0, 0.5, 45.0, 0.5, 0.5, 0.0, 11.0, 23.5, 0.0, 12.0, 0.0]	144.0	164.5	20.5	49	55	6
bb	[1.0, 6.0, 0.0, 2.5, 0.0, 11.0, 0.5, 0.0, 0.0, 1.5, 12.0, 0.0]	164.5	170.5	6.0	55	57	2
Ab	[3.5, 1.5, 0.0, 10.5, 0.0, 0.0, 0.0, 1.0, 4.5, 0.0, 2.5, 0.0]	170.5	175.5	5.0	57	59	2
bb	[2.0, 6.0, 0.0, 4.0, 0.0, 14.5, 0.5, 0.0, 0.0, 3.0, 10.5, 0.0]	175.5	182.5	7.0	59	61	2
Ab	[17.75, 13.25, 1.0, 50.0, 1.0, 9.0, 3.0, 8.5, 43.5, 1.5, 15.0, 0.0]	182.5	213.0	30.5	61	72	11
