key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
G	[1.44, 1.08, 5.64, 0.24, 1.92, 0.0, 1.68, 9.36, 0.0, 2.04, 0.96, 3.24]	0.0	10.5	10.08	0	10	10
b	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6, 0.6, 0.0, 0.0, 0.24, 0.48]	10.5	12.0	1.44	11	12	1
B	[0.48, 0.24, 0.0, 0.96, 0.72, 0.0, 5.76, 1.2, 0.6, 0.24, 0.0, 1.68]	12.0	16.5	4.32	12	16	4
G	[13.59, 0.96, 8.51, 14.68, 3.6, 3.24, 6.52, 11.19, 9.87, 9.74, 0.64, 4.3]	16.5	40.5	23.14	17	40	23
E	[1.68, 0.0, 0.24, 1.44, 5.67, 0.0, 1.08, 3.0, 0.73, 1.08, 1.92, 2.65]	40.5	45.5	4.82	41	45	4
b	[0.48, 1.92, 0.96, 0.48, 2.4, 0.0, 2.16, 4.32, 0.0, 1.2, 1.92, 1.44]	45.5	49.5	3.84	46	49	3
E	[0.48, 0.24, 1.68, 0.96, 3.36, 1.2, 1.2, 1.92, 1.2, 0.48, 0.96, 3.36]	49.5	53.5	3.84	50	53	3
cb	[0.0, 1.2, 0.0, 0.36, 1.68, 0.0, 0.48, 0.0, 0.0, 0.0, 0.96, 0.0]	53.5	54.5	0.96	54	54	0
Ab	[1.44, 1.44, 0.0, 3.12, 0.0, 1.08, 0.0, 0.36, 2.4, 0.0, 0.48, 0.0]	54.5	57.5	2.88	55	57	2
C	[6.72, 0.96, 0.0, 0.0, 3.84, 0.0, 0.0, 4.8, 0.0, 0.0, 0.0, 0.0]	57.5	61.5	3.84	58	61	3
bb	[1.72, 0.96, 0.24, 1.72, 0.0, 2.16, 0.96, 0.0, 0.0, 1.6, 0.96, 0.48]	61.5	64.5	2.88	62	64	2
eb	[0.0, 0.4, 0.52, 1.12, 0.36, 1.76, 0.0, 0.0, 2.4, 0.0, 0.72, 0.24]	64.5	66.5	1.92	65	66	1
E	[0.0, 0.0, 0.0, 0.48, 0.24, 0.24, 0.96, 0.0, 0.0, 0.96, 0.0, 0.72]	66.5	67.5	0.96	67	67	0
C#	[1.2, 0.96, 0.0, 0.96, 1.2, 0.48, 0.84, 0.36, 2.52, 0.24, 0.12, 0.0]	67.5	70.0	2.4	68	70	2
B	[7.68, 8.89, 0.84, 2.68, 11.76, 0.96, 6.55, 16.8, 0.72, 2.88, 4.32, 11.09]	70.0	88.5	17.83	70	88	18
G	[1.92, 1.2, 5.04, 0.24, 1.56, 0.0, 1.08, 9.51, 0.0, 1.44, 0.48, 3.5]	88.5	96.5	7.7	89	96	7
b	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6, 0.6, 0.0, 0.0, 0.24, 0.48]	96.5	98.0	1.44	97	98	1
B	[0.48, 0.24, 0.0, 0.96, 0.72, 0.0, 5.76, 1.2, 0.6, 0.24, 0.0, 1.68]	98.0	102.5	4.32	98	102	4
G	[1.92, 0.34, 2.92, 0.5, 2.16, 0.25, 1.25, 0.25, 0.25, 0.92, 0.42, 0.9]	102.5	107.0	4.5	103	107	4
C	[4.25, 0.91, 2.01, 0.42, 5.89, 4.42, 0.51, 4.34, 1.92, 2.07, 1.5, 2.25]	107.0	114.5	7.5	107	114	7
G	[8.98, 3.96, 9.25, 2.87, 7.6, 1.68, 10.15, 17.45, 0.0, 8.06, 2.02, 6.33]	114.5	140.75	25.67	115	141	26
