key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
G	[14.0, 0.0, 56.25, 0.0, 8.25, 0.0, 18.75, 36.0, 0.0, 20.0, 0.0, 31.5]	0.0	48.0	48.0	1	12	11
B	[0.0, 0.5, 0.0, 10.5, 5.25, 0.0, 8.25, 4.25, 0.0, 0.0, 0.5, 14.25]	48.0	60.0	12.0	13	15	2
G	[10.75, 14.0, 101.75, 0.0, 14.75, 0.0, 34.75, 58.75, 0.0, 44.75, 14.0, 55.5]	60.0	148.0	88.0	16	37	21
Bb	[18.75, 0.0, 31.0, 8.25, 0.0, 33.25, 0.0, 3.75, 0.0, 13.25, 32.0, 0.0]	148.0	188.0	40.0	38	47	9
G	[21.0, 0.0, 50.75, 0.5, 8.25, 0.0, 18.75, 25.5, 0.0, 24.0, 0.0, 18.5]	188.0	232.0	44.0	48	58	10
B	[0.0, 0.5, 0.0, 10.5, 5.25, 0.0, 8.25, 4.25, 0.0, 0.0, 0.5, 14.25]	232.0	244.0	12.0	59	61	2
G	[4.75, 0.0, 47.25, 0.0, 4.75, 0.0, 11.75, 38.75, 0.0, 21.25, 0.0, 38.5]	244.0	288.0	44.0	62	72	10
C	[14.0, 0.0, 4.5, 0.0, 14.0, 4.0, 0.0, 28.0, 0.0, 0.0, 0.0, 4.5]	288.0	304.0	16.0	73	76	3
A	[6.5, 11.5, 18.0, 0.0, 28.0, 0.5, 0.0, 0.0, 14.0, 21.5, 0.0, 9.5]	304.0	328.0	24.0	77	82	5
G	[3.25, 0.0, 21.25, 0.0, 2.75, 0.0, 2.25, 26.25, 0.0, 8.25, 0.0, 16.5]	328.0	348.0	20.0	83	87	4
C	[0.5, 0.0, 1.5, 0.0, 0.0, 2.0, 0.0, 7.5, 0.0, 0.0, 0.0, 4.0]	348.0	352.0	4.0	88	88	0
Eb	[3.0, 0.0, 2.5, 16.0, 0.0, 3.0, 0.0, 15.0, 2.0, 0.0, 14.0, 0.0]	352.0	364.0	12.0	89	91	2
G	[24.25, 0.0, 64.25, 0.0, 11.75, 0.5, 11.25, 43.75, 1.0, 30.25, 0.0, 42.0]	364.0	418.0	54.0	92	105	13
