key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
G	[5.4, 0.0, 22.68, 0.0, 2.52, 0.0, 1.92, 17.4, 0.6, 6.24, 0.0, 7.68]	0.0	22.0	21.12	1	11	10
e	[2.28, 0.0, 0.0, 1.2, 16.92, 0.0, 1.92, 4.44, 0.0, 2.04, 0.0, 6.72]	22.0	34.0	11.52	12	17	5
C	[11.16, 0.0, 1.2, 0.0, 4.56, 0.96, 0.0, 11.4, 0.0, 0.0, 0.0, 1.2]	34.0	42.5	8.16	18	22	4
d	[0.0, 1.32, 1.92, 0.0, 1.92, 1.32, 0.0, 0.72, 0.0, 1.68, 0.48, 0.0]	42.5	46.0	3.36	22	23	1
C	[2.04, 0.0, 1.56, 0.0, 1.32, 0.96, 0.48, 3.6, 0.0, 0.84, 0.0, 0.72]	46.0	50.5	4.32	24	26	2
d	[0.0, 1.08, 1.8, 0.0, 1.32, 1.44, 0.0, 1.2, 0.0, 2.04, 0.48, 0.0]	50.5	54.0	3.36	26	27	1
C	[10.56, 0.6, 6.36, 0.0, 9.12, 3.48, 0.96, 11.4, 0.96, 5.4, 0.36, 4.56]	54.0	75.5	20.64	28	39	11
e	[1.2, 6.48, 0.0, 8.4, 7.8, 0.0, 3.96, 1.2, 7.08, 0.48, 2.28, 10.32]	75.5	92.0	15.84	39	47	8
B	[0.0, 0.48, 0.0, 3.12, 0.24, 0.0, 4.8, 0.0, 0.0, 0.0, 0.24, 8.52]	92.0	98.0	5.76	48	50	2
G	[4.92, 0.0, 14.16, 0.0, 2.52, 0.0, 1.92, 6.48, 0.48, 7.68, 0.0, 5.52]	98.0	114.0	15.36	51	58	7
e	[2.16, 0.0, 0.24, 1.08, 17.04, 0.0, 1.8, 4.44, 0.0, 2.04, 0.0, 6.72]	114.0	126.0	11.52	59	64	5
C	[4.92, 0.0, 0.96, 0.0, 2.64, 0.0, 0.0, 3.36, 0.0, 0.0, 0.0, 0.72]	126.0	130.0	3.84	65	66	1
G	[2.4, 0.48, 14.0, 0.0, 2.4, 0.0, 1.68, 41.96, 0.12, 3.12, 0.0, 9.2]	130.0	148.0	17.28	67	76	9
