COMPOSER,COLLECTION (where applicable),SONG NUMBER AND TITLE,HUMAN ANALYSIS,LYRICIST,FIRST TS,FIRST KS,URL
"Bantock, Granville","5 Songs from the Chinese Poets, 1st Series",1 The Old Fisherman of the Mists and Waters,N,Zhizhang He,2/2,0,https://musescore.com/score/6211535
"Beach, Amy","4 Songs, Op.51",3 Juni,N,Erich Jansen,9/8,-1,https://musescore.com/score/6245973
"Beach, Amy","4 Songs, Op.51",4 Je demande à l’oiseau,N,Armand Silvestre,3/4,-6,https://musescore.com/score/6245974
"Beethoven, Ludwig van","6 Lieder, Op.48",1 Bitten,N,Christian Fürchtegott Gellert,2/2,4,https://musescore.com/score/5115311
"Beethoven, Ludwig van","6 Lieder, Op.48",2 Die Liebe des Nächsten,N,Christian Fürchtegott Gellert,2/2,-3,https://musescore.com/score/4946378
"Beethoven, Ludwig van","6 Lieder, Op.48",3 Vom Tode,N,Christian Fürchtegott Gellert,3/4,3,https://musescore.com/score/5115550
"Beethoven, Ludwig van","6 Lieder, Op.48",4 Die Ehre Gottes aus der Natur,N,Christian Fürchtegott Gellert,2/2,0,https://musescore.com/score/5121134
"Beethoven, Ludwig van","6 Lieder, Op.48",5 Gottes Macht und Vorsehung,N,Christian Fürchtegott Gellert,2/2,0,https://musescore.com/score/5121692
"Beethoven, Ludwig van","6 Lieder, Op.48",6 Busslied,N,Christian Fürchtegott Gellert,3/4,0,https://musescore.com/score/5125008
"Bizet, Georges","20 Mélodies, Op.21",13 Absence,N,Théophile Gautier,4/4,-3,https://musescore.com/score/5079487
"Bizet, Georges",Feuilles d’album,1 À une Fleur,N,Alfred de Musset,6/8,1,https://musescore.com/score/5079494
"Bizet, Georges",Feuilles d’album,2 Adieux à Suzon,N,Alfred de Musset,2/4,2,https://musescore.com/score/5079502
"Bizet, Georges",Feuilles d’album,3 Sonnet,N,Pierre de Ronsard,6/8,-4,https://musescore.com/score/5079512
"Bizet, Georges",Feuilles d’album,4 Guitare,N,Victor Hugo,3/4,-3,https://musescore.com/score/5079521
"Bizet, Georges",Feuilles d’album,5 Rose d’Amour,N,Charles Hubert Millevoye,4/4,-1,https://musescore.com/score/5079527
"Bizet, Georges",Feuilles d’album,6 Le grillon,N,Alphonse de Lamartine,3/8,0,https://musescore.com/score/5079539
"Boulanger, Lili",Clairières dans le ciel,01 Elle était descendue au bas de la prairie,N,Francis Jammes,4/4,4,https://musescore.com/score/5852737
"Boulanger, Lili",Clairières dans le ciel,02 Elle est gravement gaie,N,Francis Jammes,4/4,4,https://musescore.com/score/5854283
"Boulanger, Lili",Clairières dans le ciel,"03 Parfois, je suis triste",N,Francis Jammes,4/4,0,https://musescore.com/score/5855622
"Boulanger, Lili",Clairières dans le ciel,04 Un Poète disait,N,Francis Jammes,2/2,4,https://musescore.com/score/5857981
"Boulanger, Lili",Clairières dans le ciel,05 Au pied de mon lit,N,Francis Jammes,4/4,1,https://musescore.com/score/5861338
"Boulanger, Lili",Clairières dans le ciel,06 Si tout ceci n'est qu'un pauvre rêve,N,Francis Jammes,2/4,-4,https://musescore.com/score/5861752
"Boulanger, Lili",Clairières dans le ciel,06 Si tout ceci n’est qu’un pauvre rêve,N,Francis Jammes,2/4,-4,https://musescore.com/score/5861752
"Boulanger, Lili",Clairières dans le ciel,07 Nous nous aimerons tant,N,Francis Jammes,3/4,-5,https://musescore.com/score/5864781
"Boulanger, Lili",Clairières dans le ciel,08 Vous m'avez regardé avec toute votre âme,N,Francis Jammes,3/4,4,https://musescore.com/score/5864837
"Boulanger, Lili",Clairières dans le ciel,08 Vous m’avez regardé avec toute votre âme,N,Francis Jammes,3/4,4,https://musescore.com/score/5864837
"Boulanger, Lili",Clairières dans le ciel,09 Les lilas qui avaient fleuri,N,Francis Jammes,4/4,0,https://musescore.com/score/5884544
"Boulanger, Lili",Clairières dans le ciel,10 Deux ancolies,N,Francis Jammes,2/2,0,https://musescore.com/score/5887314
"Boulanger, Lili",Clairières dans le ciel,11 Par ce que j'ai souffert,N,Francis Jammes,6/4,0,https://musescore.com/score/5901729
"Boulanger, Lili",Clairières dans le ciel,11 Par ce que j’ai souffert,N,Francis Jammes,6/4,0,https://musescore.com/score/5901729
"Boulanger, Lili",Clairières dans le ciel,12 Je garde une médaille d'elle,N,Francis Jammes,4/4,-1,https://musescore.com/score/5901950
"Boulanger, Lili",Clairières dans le ciel,12 Je garde une médaille d’elle,N,Francis Jammes,4/4,-1,https://musescore.com/score/5901950
"Boulanger, Lili",Clairières dans le ciel,13 Demain fera un an,N,Francis Jammes,4/4,-1,https://musescore.com/score/5902873
"Boulanger, Lili", ,Attente,N,Maurice Maeterlinck,4/4,7,https://musescore.com/score/5983850
"Boulanger, Lili", ,Dans l’immense tristesse,N,Bertha Galeron de Calonne,3/4,-5,https://musescore.com/score/5983777
"Boulanger, Lili", ,Reflets,N,Maurice Maeterlinck,2/2,3,https://musescore.com/score/5983679
"Brahms, Johannes","2 Gesänge, Op.91",1 Gestillte Sehnsucht,N,Friedrich Rückert (1788-1866),2/4,2,https://musescore.com/score/6302395
