type,time,duration,original,converted
chord,0.0,1.5,Db:I,Db:maj
chord,2.0,2.0,Db:ii7,Eb:min7
chord,4.0,2.0,Db:IV,Gb:maj
chord,6.0,4.0,Db:I,Db:maj
chord,10.0,2.0,Db:bVII,Cb:maj
chord,12.0,2.0,Db:IV,Gb:maj
chord,14.0,4.0,Db:I,Db:maj
chord,18.0,2.0,Db:bVII,Cb:maj
chord,20.0,2.0,Db:IV,Gb:maj
chord,22.0,4.0,Db:I,Db:maj
chord,26.0,2.0,Db:bVII,Cb:maj
chord,28.0,2.0,Db:IV,Gb:maj
chord,30.0,4.0,Db:I,Db:maj
chord,34.0,2.0,Db:bVII,Cb:maj
chord,36.0,2.0,Db:IV,Gb:maj
chord,38.0,2.0,Db:I,Db:maj
chord,40.0,1.0,Db:V,Ab:maj
chord,41.0,1.0,Db:bVII,Cb:maj
chord,42.0,2.0,Db:I,Db:maj
chord,44.0,1.0,Db:V,Ab:maj
chord,45.0,1.0,Db:bVII,Cb:maj
chord,46.0,4.0,Db:I,Db:maj
chord,50.0,2.0,Db:bVII,Cb:maj
chord,52.0,2.0,Db:IV,Gb:maj
chord,54.0,4.0,Db:I,Db:maj
chord,58.0,2.0,Db:bVII,Cb:maj
chord,60.0,2.0,Db:IV,Gb:maj
chord,62.0,4.0,Db:I,Db:maj
chord,66.0,2.0,Db:bVII,Cb:maj
chord,68.0,2.0,Db:IV,Gb:maj
chord,70.0,2.0,Db:I,Db:maj
chord,72.0,1.0,Db:V,Ab:maj
chord,73.0,1.0,Db:bVII,Cb:maj
chord,74.0,2.0,Db:I,Db:maj
chord,76.0,1.0,Db:V,Ab:maj
chord,77.0,1.0,Db:bVII,Cb:maj
chord,78.0,4.0,Db:I,Db:maj
chord,82.0,2.0,Db:bVII,Cb:maj
chord,84.0,2.0,Db:IV,Gb:maj
chord,86.0,4.0,Db:I,Db:maj
chord,90.0,2.0,Db:bVII,Cb:maj
chord,92.0,2.0,Db:IV,Gb:maj
chord,94.0,2.0,Db:I,Db:maj
chord,96.0,1.0,Db:V,Ab:maj
chord,97.0,1.0,Db:bVII,Cb:maj
chord,98.0,2.0,Db:I,Db:maj
chord,100.0,1.0,Db:V,Ab:maj
chord,101.0,1.0,Db:bVII,Cb:maj
chord,102.0,2.0,Db:I,Db:maj
chord,104.0,1.0,Db:V,Ab:maj
chord,105.0,1.0,Db:bVII,Cb:maj
chord,106.0,2.0,Db:I,Db:maj
chord,108.0,1.0,Db:V,Ab:maj
chord,109.0,1.0,Db:bVII,Cb:maj
chord,110.0,2.0,Db:I,Db:maj
chord,112.0,0.5,Eb:i,Eb:min
chord,113.0,1.0,Eb:bVI,Cb:maj
chord,114.0,1.0,Eb:V,Bb:maj
chord,115.0,1.0,Eb:iv,Ab:min
chord,116.0,1.0,Eb:i,Eb:min
chord,117.0,1.0,Eb:bVI,Cb:maj
chord,118.0,1.0,Eb:V,Bb:maj
chord,119.0,1.0,Eb:iv,Ab:min
chord,120.0,1.0,Eb:i,Eb:min
chord,121.0,1.0,Eb:bVI,Cb:maj
chord,122.0,1.0,Eb:V,Bb:maj
chord,123.0,1.0,Eb:iv,Ab:min
chord,124.0,1.0,Eb:i,Eb:min
chord,125.0,1.0,Eb:bVI,Cb:maj
chord,126.0,1.0,Eb:V,Bb:maj
chord,127.0,2.0,Eb:iv,Ab:min
chord,129.0,1.0,Eb:i,Eb:min
chord,130.0,1.0,Eb:bIII,Gb:maj
chord,131.0,1.0,Eb:iv,Ab:min
chord,132.0,0.25,Eb:bVI,Cb:maj
chord,132.25,0.25,Eb:bVI,Cb:maj
chord,132.5,0.25,Eb:bVII,Db:maj
chord,132.75,0.25,Eb:bIII,Gb:maj
chord,133.0,1.0,Eb:i,Eb:min
chord,134.0,1.0,Eb:bIII,Gb:maj
chord,135.0,1.0,Eb:iv,Ab:min
chord,136.0,0.25,Eb:bVI,Cb:maj
chord,136.25,0.25,Eb:bVI,Cb:maj
chord,136.5,0.25,Eb:bVII,Db:maj
chord,136.75,0.25,Eb:bIII,Gb:maj
chord,137.0,1.0,Eb:i,Eb:min
chord,138.0,1.0,Eb:bIII,Gb:maj
chord,139.0,1.0,Eb:iv,Ab:min
chord,140.0,0.25,Eb:bVI,Cb:maj
chord,140.25,0.25,Eb:bVI,Cb:maj
chord,140.5,0.25,Eb:bVII,Db:maj
chord,140.75,0.25,Eb:bIII,Gb:maj
chord,141.0,1.0,Eb:i,Eb:min
chord,142.0,1.0,Eb:bIII,Gb:maj
chord,143.0,1.0,Eb:iv,Ab:min
chord,144.0,0.25,Eb:bVI,Cb:maj
chord,144.25,0.25,Eb:bVI,Cb:maj
