type,time,duration,original,converted
chord,0.0,3.5,F:I,F:maj
chord,4.0,1.0,F:IV6,Bb:maj/3
chord,5.0,1.0,F:V,C:maj
chord,6.0,1.0,F:I,F:maj
chord,7.0,1.0,F:IV6,Bb:maj/3
chord,8.0,1.0,F:I,F:maj
chord,9.0,1.0,F:IV6,Bb:maj/3
chord,10.0,2.0,F:V,C:maj
chord,12.0,1.0,F:IV6,Bb:maj/3
chord,13.0,1.0,F:V,C:maj
chord,14.0,1.0,F:I,F:maj
chord,15.0,1.0,F:IV6,Bb:maj/3
chord,16.0,1.0,F:I,F:maj
chord,17.0,1.0,F:IV6,Bb:maj/3
chord,18.0,1.0,F:V,C:maj
chord,19.0,3.0,F:I,F:maj
chord,22.0,1.0,F:IV6,Bb:maj/3
chord,23.0,1.0,F:V,C:maj
chord,24.0,1.0,F:I,F:maj
chord,25.0,1.0,F:IV6,Bb:maj/3
chord,26.0,1.0,F:I,F:maj
chord,27.0,1.0,F:IV6,Bb:maj/3
chord,28.0,1.0,F:I,F:maj
chord,29.0,1.0,F:IV6,Bb:maj/3
chord,30.0,2.0,F:V,C:maj
chord,32.0,1.0,F:IV6,Bb:maj/3
chord,33.0,1.0,F:V,C:maj
chord,34.0,1.0,F:I,F:maj
chord,35.0,1.0,F:IV6,Bb:maj/3
chord,36.0,1.0,F:I,F:maj
chord,37.0,1.0,F:IV6,Bb:maj/3
chord,38.0,1.0,F:I,F:maj
chord,39.0,1.0,F:IV6,Bb:maj/3
chord,40.0,2.0,F:V,C:maj
chord,42.0,1.0,F:IV6,Bb:maj/3
chord,43.0,1.0,F:V,C:maj
chord,44.0,1.0,F:I,F:maj
chord,45.0,1.0,F:IV6,Bb:maj/3
chord,46.0,1.0,F:I,F:maj
chord,47.0,1.0,F:IV6,Bb:maj/3
chord,48.0,2.0,F:V,C:maj
chord,50.0,1.0,F:IV6,Bb:maj/3
chord,51.0,1.0,F:V,C:maj
chord,52.0,1.0,F:I,F:maj
chord,53.0,1.0,F:IV6,Bb:maj/3
chord,54.0,1.0,F:I,F:maj
chord,55.0,1.0,F:IV6,Bb:maj/3
chord,56.0,1.0,F:V,C:maj
chord,57.0,4.0,F:I,F:maj
chord,61.0,1.0,F:IV6,Bb:maj/3
chord,62.0,1.0,F:V,C:maj
chord,63.0,1.0,F:I,F:maj
chord,64.0,1.0,F:IV6,Bb:maj/3
chord,65.0,1.0,F:I,F:maj
chord,66.0,1.0,F:IV6,Bb:maj/3
chord,67.0,1.0,F:I,F:maj
chord,68.0,1.0,F:IV6,Bb:maj/3
chord,69.0,1.0,F:I,F:maj
chord,70.0,1.0,F:IV6,Bb:maj/3
chord,71.0,1.0,F:I,F:maj
chord,72.0,1.0,F:IV6,Bb:maj/3
chord,73.0,2.0,F:V,C:maj
chord,75.0,1.0,F:IV6,Bb:maj/3
chord,76.0,1.0,F:V,C:maj
chord,77.0,1.0,F:I,F:maj
chord,78.0,1.0,F:IV6,Bb:maj/3
chord,79.0,1.0,F:I,F:maj
chord,80.0,1.0,F:IV6,Bb:maj/3
chord,81.0,1.0,F:I,F:maj
chord,82.0,1.0,F:IV6,Bb:maj/3
chord,83.0,0.5,F:IV6,Bb:maj/3
chord,84.0,1.5,F:V,C:maj
chord,86.0,1.0,F:IV6,Bb:maj/3
chord,87.0,1.0,F:V,C:maj
chord,88.0,1.0,F:I,F:maj
chord,89.0,1.0,F:IV6,Bb:maj/3
chord,90.0,1.0,F:I,F:maj
chord,91.0,1.0,F:IV6,Bb:maj/3
chord,92.0,2.0,F:V,C:maj
chord,94.0,1.0,F:IV6,Bb:maj/3
chord,95.0,1.0,F:V,C:maj
chord,96.0,1.0,F:I,F:maj
chord,97.0,1.0,F:IV6,Bb:maj/3
chord,98.0,1.0,F:I,F:maj
chord,99.0,1.0,F:IV6,Bb:maj/3
chord,100.0,1.0,F:V,C:maj
chord,101.0,4.0,F:I,F:maj
chord,105.0,1.0,F:IV6,Bb:maj/3
chord,106.0,1.0,F:V,C:maj
chord,107.0,1.0,F:I,F:maj
chord,108.0,1.0,F:IV6,Bb:maj/3
chord,109.0,1.0,F:I,F:maj
chord,110.0,1.0,F:IV6,Bb:maj/3
chord,111.0,1.0,F:I,F:maj
chord,112.0,1.0,F:IV6,Bb:maj/3
chord,113.0,1.0,F:I,F:maj
chord,114.0,1.0,F:IV6,Bb:maj/3
chord,115.0,2.0,F:V,C:maj
chord,117.0,1.0,F:IV6,Bb:maj/3
chord,118.0,1.0,F:V,C:maj
chord,119.0,1.0,F:I,F:maj
chord,120.0,1.0,F:IV6,Bb:maj/3
chord,121.0,1.0,F:I,F:maj
chord,122.0,1.0,F:IV6,Bb:maj/3
chord,123.0,1.0,F:I,F:maj
chord,124.0,1.0,F:IV6,Bb:maj/3
