type,time,duration,original,converted
chord,0.0,3.5,B:I,B:maj
chord,4.0,2.0,B:Id7,B:7
chord,6.0,2.0,B:I,B:maj
chord,8.0,2.0,B:bVII,A:maj
chord,10.0,4.0,B:I,B:maj
chord,14.0,2.0,B:V11/IV,B:9(4)
chord,16.0,2.0,B:IV,E:maj
chord,18.0,2.0,B:V,F#:maj
chord,20.0,2.0,B:I,B:maj
chord,22.0,2.0,B:V11/IV,B:9(4)
chord,24.0,2.0,B:IV,E:maj
chord,26.0,2.0,B:V,F#:maj
chord,28.0,1.0,B:I,B:maj
chord,29.0,1.0,B:ii7,C#:min7
chord,30.0,1.0,B:bVII,A:maj
chord,31.0,1.0,B:ii7/bVII,B:min7
chord,32.0,1.0,B:bVI,G:maj
chord,33.0,1.0,B:ii7/bVI,A:min7
chord,34.0,4.0,B:I,B:maj
chord,38.0,2.0,B:V11/IV,B:9(4)
chord,40.0,2.0,B:IV,E:maj
chord,42.0,2.0,B:V,F#:maj
chord,44.0,2.0,B:I,B:maj
chord,46.0,2.0,B:V11/IV,B:9(4)
chord,48.0,2.0,B:IV,E:maj
chord,50.0,2.0,B:V,F#:maj
chord,52.0,1.0,B:I,B:maj
chord,53.0,1.0,B:ii7,C#:min7
chord,54.0,1.0,B:bVII,A:maj
chord,55.0,1.0,B:ii7/bVII,B:min7
chord,56.0,1.0,B:bVI,G:maj
chord,57.0,1.0,B:ii7/bVI,A:min7
chord,58.0,3.0,B:I,B:maj
chord,61.0,1.0,B:ii7,C#:min7
chord,62.0,2.0,B:I,B:maj
chord,64.0,2.0,B:ii7,C#:min7
chord,66.0,2.0,B:I,B:maj
chord,68.0,2.0,B:ii7,C#:min7
chord,70.0,2.0,B:I,B:maj
chord,72.0,2.0,B:ii7,C#:min7
key,0.0,73.5,B,B:major
