type,time,duration,original,converted
chord,0.0,0.5,Db:R,Db:R
chord,1.0,2.0,Db:Id9,Db:maj9
chord,3.0,2.0,Db:I,Db:maj
chord,5.0,2.0,Db:Id9,Db:maj9
chord,7.0,2.0,Db:I,Db:maj
chord,9.0,1.0,Db:ii,Eb:min
chord,10.0,1.0,Db:iii,F:min
chord,11.0,1.0,Db:IV,Gb:maj
chord,12.0,0.5,Db:I64,Db:maj/5
chord,12.5,0.5,Db:V,Ab:maj
chord,13.0,1.0,Db:I,Db:maj
chord,14.0,1.0,Db:ii,Eb:min
chord,15.0,1.0,Db:V,Ab:maj
chord,16.0,2.0,Db:I,Db:maj
chord,18.0,1.0,Db:ii,Eb:min
chord,19.0,2.0,Db:Id9,Db:maj9
chord,21.0,2.0,Db:I,Db:maj
chord,23.0,2.0,Db:Id9,Db:maj9
chord,25.0,2.0,Db:I,Db:maj
chord,27.0,2.0,Db:Id9,Db:maj9
chord,29.0,2.0,Db:I,Db:maj
chord,31.0,1.0,Db:ii,Eb:min
chord,32.0,1.0,Db:iii,F:min
chord,33.0,1.0,Db:IV,Gb:maj
chord,34.0,0.5,Db:I64,Db:maj/5
chord,34.5,0.5,Db:V,Ab:maj
chord,35.0,1.0,Db:I,Db:maj
chord,36.0,1.0,Db:ii,Eb:min
chord,37.0,1.0,Db:V,Ab:maj
chord,38.0,2.0,Db:I,Db:maj
chord,40.0,1.0,Db:ii,Eb:min
chord,41.0,2.0,Db:Id9,Db:maj9
chord,43.0,0.5,Db:I,Db:maj
chord,43.5,0.5,Db:IV,Gb:maj
chord,44.0,0.25,Db:V,Ab:maj
chord,44.25,0.25,Db:V,Ab:maj
chord,44.5,0.25,Db:IV,Gb:maj
chord,44.75,0.25,Db:V64,Ab:maj/5
chord,45.0,0.5,Db:I,Db:maj
chord,45.5,0.5,Db:IV,Gb:maj
chord,46.0,0.25,Db:V,Ab:maj
chord,46.25,0.25,Db:V,Ab:maj
chord,46.5,0.25,Db:IV,Gb:maj
chord,46.75,0.25,Db:V64,Ab:maj/5
chord,47.0,0.5,Db:I,Db:maj
chord,47.5,0.5,Db:IV,Gb:maj
chord,48.0,0.25,Db:V,Ab:maj
chord,48.25,0.25,Db:V,Ab:maj
chord,48.5,0.25,Db:IV,Gb:maj
chord,48.75,0.25,Db:V64,Ab:maj/5
chord,49.0,0.5,Db:I,Db:maj
chord,49.5,0.5,Db:IV,Gb:maj
chord,50.0,0.25,Db:V,Ab:maj
chord,50.25,0.25,Db:V,Ab:maj
chord,50.5,0.25,Db:IV,Gb:maj
chord,50.75,0.25,Db:V64,Ab:maj/5
chord,51.0,0.5,Db:I,Db:maj
chord,51.5,0.5,Db:IV,Gb:maj
chord,52.0,0.25,Db:V,Ab:maj
chord,52.25,0.25,Db:V,Ab:maj
chord,52.5,0.25,Db:IV,Gb:maj
chord,52.75,0.25,Db:V64,Ab:maj/5
chord,53.0,0.5,Db:I,Db:maj
chord,53.5,0.5,Db:IV,Gb:maj
chord,54.0,0.25,Db:V,Ab:maj
chord,54.25,0.25,Db:V,Ab:maj
chord,54.5,0.25,Db:IV,Gb:maj
chord,54.75,0.25,Db:V64,Ab:maj/5
chord,55.0,0.5,Db:I,Db:maj
chord,55.5,0.5,Db:IV,Gb:maj
chord,56.0,0.25,Db:V,Ab:maj
chord,56.25,0.25,Db:V,Ab:maj
chord,56.5,0.25,Db:IV,Gb:maj
chord,56.75,0.25,Db:V64,Ab:maj/5
chord,57.0,0.5,Db:I,Db:maj
chord,57.5,0.5,Db:IV,Gb:maj
chord,58.0,0.25,Db:V,Ab:maj
chord,58.25,0.25,Db:V,Ab:maj
chord,58.5,0.25,Db:IV,Gb:maj
chord,58.75,0.25,Db:V64,Ab:maj/5
chord,59.0,0.5,Db:I,Db:maj
chord,59.5,0.5,Db:IV,Gb:maj
chord,60.0,0.25,Db:V,Ab:maj
chord,60.25,0.25,Db:V,Ab:maj
chord,60.5,0.25,Db:IV,Gb:maj
chord,60.75,0.25,Db:V64,Ab:maj/5
chord,61.0,0.5,Db:I,Db:maj
chord,61.5,0.5,Db:IV,Gb:maj
chord,62.0,0.25,Db:V,Ab:maj
chord,62.25,0.25,Db:V,Ab:maj
chord,62.5,0.25,Db:IV,Gb:maj
chord,62.75,0.25,Db:V64,Ab:maj/5
chord,63.0,0.5,Db:I,Db:maj
chord,63.5,0.5,Db:IV,Gb:maj
chord,64.0,0.25,Db:V,Ab:maj
chord,64.25,0.25,Db:V,Ab:maj
chord,64.5,0.25,Db:IV,Gb:maj
chord,64.75,0.25,Db:V64,Ab:maj/5
chord,65.0,0.5,Db:I,Db:maj
chord,65.5,0.5,Db:IV,Gb:maj
chord,66.0,0.25,Db:V,Ab:maj
chord,66.25,0.25,Db:V,Ab:maj
chord,66.5,0.25,Db:IV,Gb:maj
chord,66.75,0.25,Db:V64,Ab:maj/5
chord,67.0,0.5,Db:I,Db:maj
chord,67.5,0.5,Db:IV,Gb:maj
chord,68.0,0.25,Db:V,Ab:maj
chord,68.25,0.25,Db:V,Ab:maj
chord,68.5,0.25,Db:IV,Gb:maj
chord,68.75,0.25,Db:V64,Ab:maj/5
chord,69.0,1.0,Db:I,Db:maj
chord,70.0,1.0,Db:ii,Eb:min
chord,71.0,1.0,Db:V,Ab:maj
chord,72.0,2.0,Db:I,Db:maj
chord,74.0,1.0,Db:ii,Eb:min
chord,75.0,4.0,Db:Id9,Db:maj9
chord,79.0,0.5,Db:I,Db:maj
chord,79.5,0.5,Db:IV,Gb:maj
chord,80.0,0.25,Db:V,Ab:maj
chord,80.25,0.25,Db:V,Ab:maj
chord,80.5,0.25,Db:IV,Gb:maj
chord,80.75,0.25,Db:V64,Ab:maj/5
chord,81.0,1.0,Db:I,Db:maj
chord,82.0,1.0,Db:ii,Eb:min
chord,83.0,1.0,Db:V,Ab:maj
chord,84.0,2.0,Db:I,Db:maj
chord,86.0,1.0,Db:ii,Eb:min
chord,87.0,2.0,Db:Id9,Db:maj9
key,0.0,88.5,Db,Db:major
