type,time,duration,original,converted
chord,0.0,23.5,Db:Id7,Db:7
chord,24.0,6.0,Db:IV,Gb:maj
chord,30.0,4.0,Db:V,Ab:maj
chord,34.0,16.0,Db:Id7,Db:7
chord,50.0,6.0,Db:IV,Gb:maj
chord,56.0,8.0,Db:V,Ab:maj
chord,64.0,44.0,Db:Id7,Db:7
key,0.0,107.5,Db,Db:major
