type,time,duration,original,converted
chord,0.0,1.5,E:I,E:maj
chord,2.0,0.5,E:I,E:maj
chord,2.5,0.5,E:IV,A:maj
chord,3.0,0.5,E:V,B:maj
chord,3.5,0.5,E:I,E:maj
chord,4.0,0.5,E:I,E:maj
chord,4.5,0.5,E:IV,A:maj
chord,5.0,0.5,E:V,B:maj
chord,5.5,2.5,E:I,E:maj
chord,8.0,0.5,E:I,E:maj
chord,8.5,0.5,E:IV,A:maj
chord,9.0,0.5,E:V,B:maj
chord,9.5,2.5,E:I,E:maj
chord,12.0,0.5,E:I,E:maj
chord,12.5,0.5,E:IV,A:maj
chord,13.0,0.5,E:V,B:maj
chord,13.5,0.5,E:I,E:maj
chord,14.0,2.0,E:IV,A:maj
chord,16.0,2.0,E:I,E:maj
chord,18.0,2.0,E:IV,A:maj
chord,20.0,2.0,E:I,E:maj
chord,24.0,0.5,E:I,E:maj
chord,24.5,0.5,E:IV,A:maj
chord,25.0,0.5,E:V,B:maj
chord,25.5,0.5,E:I,E:maj
chord,26.0,0.5,E:I,E:maj
chord,26.5,0.5,E:IV,A:maj
chord,27.0,0.5,E:V,B:maj
chord,27.5,2.5,E:I,E:maj
chord,30.0,0.5,E:I,E:maj
chord,30.5,0.5,E:IV,A:maj
chord,31.0,0.5,E:V,B:maj
chord,31.5,2.5,E:I,E:maj
chord,34.0,0.5,E:I,E:maj
chord,34.5,0.5,E:IV,A:maj
chord,35.0,0.5,E:V,B:maj
chord,35.5,0.5,E:I,E:maj
chord,36.0,2.0,E:IV,A:maj
chord,38.0,2.0,E:I,E:maj
chord,40.0,2.0,E:IV,A:maj
chord,42.0,2.0,E:I,E:maj
chord,46.0,0.5,E:I,E:maj
chord,46.5,0.5,E:IV,A:maj
chord,47.0,0.5,E:V,B:maj
chord,47.5,0.5,E:I,E:maj
chord,48.0,0.5,E:I,E:maj
chord,48.5,0.5,E:IV,A:maj
chord,49.0,0.5,E:V,B:maj
chord,49.5,2.5,E:I,E:maj
chord,52.0,0.5,E:I,E:maj
chord,52.5,0.5,E:IV,A:maj
chord,53.0,0.5,E:V,B:maj
chord,53.5,2.5,E:I,E:maj
chord,56.0,0.5,E:I,E:maj
chord,56.5,0.5,E:IV,A:maj
chord,57.0,0.5,E:V,B:maj
chord,57.5,0.5,E:I,E:maj
chord,58.0,2.0,E:IV,A:maj
chord,60.0,2.0,E:I,E:maj
chord,62.0,2.0,E:IV,A:maj
chord,64.0,2.0,E:I,E:maj
chord,68.0,0.5,E:I,E:maj
chord,68.5,0.5,E:IV,A:maj
chord,69.0,0.5,E:V,B:maj
chord,69.5,0.5,E:I,E:maj
chord,70.0,0.5,E:I,E:maj
chord,70.5,0.5,E:IV,A:maj
chord,71.0,0.5,E:V,B:maj
chord,71.5,0.5,E:I,E:maj
chord,72.0,0.5,E:I,E:maj
chord,72.5,0.5,E:IV,A:maj
chord,73.0,0.5,E:V,B:maj
chord,73.5,0.5,E:I,E:maj
chord,74.0,0.5,E:I,E:maj
chord,74.5,0.5,E:IV,A:maj
chord,75.0,0.5,E:V,B:maj
chord,75.5,0.5,E:I,E:maj
key,0.0,75.5,E,E:major
