key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
C	[48.0, 2.0, 24.75, 0.0, 24.0, 32.0, 2.0, 42.5, 7.0, 33.0, 4.0, 20.0]	0.0	46.0	46.0	1	12	11
a	[4.0, 0.0, 0.0, 0.0, 16.0, 0.0, 0.0, 4.0, 0.0, 12.0, 0.0, 4.0]	46.0	54.0	8.0	12	14	2
b	[0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 16.0, 0.0, 0.0, 0.0, 4.0, 12.0]	54.0	62.0	8.0	14	16	2
C	[86.0, 4.0, 36.25, 0.0, 43.5, 58.0, 0.0, 83.0, 11.5, 48.0, 6.0, 31.0]	62.0	140.5	78.5	16	36	20
