key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
f	[16.0, 5.0, 0.0, 0.0, 3.0, 10.0, 0.0, 3.0, 6.0, 1.0, 2.0, 0.0]	0.0	16.0	16.0	0	4	4
Ab	[3.0, 4.5, 0.0, 6.0, 1.0, 0.0, 0.0, 1.5, 4.0, 0.0, 6.0, 0.0]	16.0	24.0	8.0	4	6	2
f	[33.0, 5.5, 0.0, 0.0, 7.0, 13.0, 0.0, 7.0, 11.0, 1.0, 3.0, 2.0]	24.0	48.0	24.0	6	12	6
Ab	[17.5, 10.0, 0.0, 40.5, 1.0, 0.5, 0.0, 9.5, 20.5, 0.0, 13.0, 0.0]	48.0	77.0	29.0	12	19	7
f	[17.0, 8.0, 3.0, 0.0, 4.0, 6.0, 0.0, 6.0, 3.0, 0.0, 0.0, 3.0]	77.0	97.0	20.0	20	24	4
ab	[1.0, 0.0, 3.0, 19.5, 5.0, 1.0, 0.0, 4.0, 4.0, 1.0, 5.0, 4.0]	97.0	117.0	20.0	25	29	4
Ab	[13.5, 3.5, 0.0, 31.0, 0.0, 1.0, 5.0, 7.0, 7.0, 4.0, 6.0, 2.0]	117.0	137.0	20.0	30	34	4
Gb	[0.0, 19.0, 0.0, 1.0, 0.0, 4.5, 6.0, 0.0, 2.5, 0.0, 7.5, 3.5]	137.0	148.0	11.0	35	37	2
f	[11.5, 2.5, 0.0, 4.0, 1.0, 6.0, 4.0, 1.0, 3.5, 4.0, 1.5, 1.0]	148.0	157.0	9.0	37	39	2
Ab	[13.5, 3.5, 0.0, 31.0, 0.0, 1.0, 5.0, 7.0, 7.0, 4.0, 6.0, 2.0]	157.0	177.0	20.0	40	44	4
Gb	[0.0, 19.0, 0.0, 1.0, 0.0, 4.5, 6.0, 0.0, 2.5, 0.0, 7.5, 3.5]	177.0	188.0	11.0	45	47	2
f	[22.0, 7.0, 0.0, 0.0, 6.0, 19.0, 0.0, 5.0, 8.5, 1.0, 3.5, 1.0]	188.0	208.0	20.0	47	52	5
Ab	[3.0, 4.5, 0.0, 6.0, 1.0, 0.0, 0.0, 1.5, 4.0, 0.0, 4.0, 0.0]	208.0	215.0	7.0	52	54	2
f	[13.0, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0]	215.0	219.0	4.0	54	55	1
