jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
ireal-pro_1213.jams,Straight Street,Coltrane John,Coltrane [Rudy Van Gelder Remaster],4,377.0,06/10/2009,4394e170-7c6a-4b32-8c6e-c29b4a9f84af,USC4R0918953,4120360.0,https://www.deezer.com/track/4120360,https://music.youtube.com/watch?v=7R_bhrJy9xw,,
ireal-pro_1327.jams,Turn Out The Stars,Evans Bill,Quiet Now,4,321.0,26/05/2006,9546a186-0620-4c80-bbc9-24a550d4c819,USFB20615403,1913967.0,https://www.deezer.com/track/1913967,https://music.youtube.com/watch?v=BMh3F4U5--E,,
ireal-pro_1253.jams,Tell Me A Bedtime Story,Hancock Herbie,The Warner Bros. Years [1969-1972],3,301.0,18/07/2014,0ec7d7ff-8403-4489-99ef-a5d3bc59eb5e,USWB10103777,80561114.0,https://www.deezer.com/track/80561114,https://music.youtube.com/watch?v=tGxgeuJoCxY,,
ireal-pro_1993.jams,Tell Me Something Good,Rufus and Chaka Khan (Stevie Wonder),Stompin’ at the Savoy: Live,B1,219.04,,fea6007e-404f-4819-aaf4-4456b580120e,,,,https://music.youtube.com/watch?v=vuDCi5neNMM,,
ireal-pro_1989.jams,Surfin' USA,The Beach Boys (Berry-Wilson),Surfin' USA (Mono & Stereo Remaster),,150.0,,,,,,https://music.youtube.com/watch?v=KcZn05qxVgg,,
ireal-pro_1435.jams,You'd Be So Nice To Come Home To,Porter Cole,The Essential Cole Porter Vol 2,19,173.0,02/10/2006,,USA371413278,14035524.0,https://www.deezer.com/track/14035524,https://music.youtube.com/watch?v=Cjmbv8AjPD4,,
ireal-pro_204.jams,Black Coffee,Burke-Webster,Nearly God,B2,290.04,,8981dd6d-1d02-4828-bf38-38fd3f216e20,,,,https://music.youtube.com/watch?v=papI8E_2MVg,,
ireal-pro_1794.jams,Home Again,King Carole,"Home Again - Live From Central Park, New York City, May 26, 1973",5,163.0,10/02/2023,1206f4d8-d901-4f90-ab4d-30e9c23de9d6,USSM12201856,2131707467.0,https://www.deezer.com/track/2131707467,https://music.youtube.com/watch?v=5bbU6gY2N9c,,
ireal-pro_1067.jams,"Preacher, The",Silver Horace,Jazz Inspiration,13,256.0,31/10/2014,59e2a779-67a2-46fa-afd4-531e05024376,USBN20400555,15874921.0,https://www.deezer.com/track/15874921,https://music.youtube.com/watch?v=Ses_IarHeJ0,,
ireal-pro_1653.jams,Ain't No Mountain High Enough,Marvin Gaye-Tammi Terrell (Ashford-Simpson),Motown for Kids,12,148.64,,b04b5028-da5b-4f05-bfe3-4f8f80396d98,,,,https://music.youtube.com/watch?v=ABfQuZqq8wg,,
