id,title,artists,genre,tempo,time_signature,jams_path
ireal-pro_0,11 y 6 (Euforia),Páez Fito,Pop,100,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_0.jams
ireal-pro_1,Abrazame,Ferro Rafael,Ballad,60,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_1.jams
ireal-pro_2,Allí,Flores Pedro,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_2.jams
ireal-pro_3,Amar Y Querer,José José,Ballad,60,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_3.jams
ireal-pro_4,Anhelante,Sifontes José,Latin,90,"(3, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_4.jams
ireal-pro_5,Bella María De Mi Alma,Lobos Los,Bolero-Cha,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_5.jams
ireal-pro_6,Cancion Para Mi Muerte,Garcia Charly,Rock,115,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_6.jams
ireal-pro_7,Capullito De Alelí,Hernandez Rafael,Son,160,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_7.jams
ireal-pro_8,Chan Chan,Segundo Compay,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_8.jams
ireal-pro_9,Claudia,Valdés Chucho,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_9.jams
ireal-pro_10,Como Fue (as sang by Beny More),Duarte Ernesto,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_10.jams
ireal-pro_11,Como Fue (as sang by Luis Miguel),Duarte Ernesto,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_11.jams
ireal-pro_12,Compadre Pedro Juan,Alberti Luis,Merengue,130,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_12.jams
ireal-pro_13,Contigo Aprendi,Manzanero Armando,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_13.jams
ireal-pro_14,Contigo En La Distancia,Cesar Portillo De La Luz,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_14.jams
ireal-pro_15,Copacabana,Manilow Barry,Latin,130,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_15.jams
ireal-pro_16,Corazón Partido,Sanz Alejandro,Latin,80,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_16.jams
ireal-pro_17,Dos gardenias,Carrillo Isolina,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_17.jams
ireal-pro_18,El Bodeguero,Orquesta Aragón (Richard Egües),Cha Cha,110,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_18.jams
ireal-pro_19,El Cuarto de Tula,González-Siaba Sergio,Cuban Son,160,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_19.jams
ireal-pro_20,El Reloj,Cantoral Roberto,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_20.jams
ireal-pro_21,Guateque Campesino,Romero Celia,Cuban Son,160,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_21.jams
ireal-pro_22,Hasta Mañana,Tite Curet Alonso,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_22.jams
ireal-pro_23,Historia de un amor,Luis Miguel (Carlos Eleta-Almaran),Latin,80,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_23.jams
ireal-pro_24,La Gloria Eres Tu,Jose Antonio Mendez,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_24.jams
ireal-pro_25,Lágrimas Negras,Matamoros Miguel,Bolero-Son,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_25.jams
ireal-pro_26,Llegaste Tarde,Los Amigos Invisibles,Salsa,190,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_26.jams
ireal-pro_27,Lloraras,D'Leon Oscar,Salsa,160,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_27.jams
ireal-pro_28,Mambo Influenciado,Valdés Chucho,Mambo,180,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_28.jams
ireal-pro_29,Mariposa Traicionera,Fher Olvera,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_29.jams
ireal-pro_30,Mi Historia Entre Tus Dedos,Gianluca Grigniani,Latin,80,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_30.jams
ireal-pro_31,Moliendo Café,Blanco Hugo,Son,160,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_31.jams
ireal-pro_32,Morena Yo Soy Tu Marido,Rodriguez Raulin,Latin,130,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_32.jams
ireal-pro_33,Motivos,Pizzolante Italo,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_33.jams
ireal-pro_34,Nostalgias,Cobián-Cadícamo,Tango,100,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_34.jams
ireal-pro_35,Obsesión,Flores Pedro,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_35.jams
ireal-pro_36,Oye Como Va,Puente Tito,Latin,110,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_36.jams
ireal-pro_37,Perfidia,Dominguez Alberto,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_37.jams
ireal-pro_38,"Quizás, Quizás, Quizás",Farrés Osvaldo,Bolero-Cha,110,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_38.jams
ireal-pro_39,Solamente Una Vez,Lara Agustín,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_39.jams
ireal-pro_40,Somos Novios,Manzanero Armando,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_40.jams
ireal-pro_41,Te Desafío,Tito Puente (Roberto Yanes),Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_41.jams
ireal-pro_42,Tres Palabras,Farrés Osvaldo,Latin,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_42.jams
ireal-pro_43,Tu Me Acostumbraste,Dominquez Frank,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_43.jams
ireal-pro_44,Uno,Mores-Discépolo,Tango,130,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_44.jams
ireal-pro_45,Usted,Jose Feliciano (Monis-Ruíz-Zorrilla),Latin,100,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_45.jams
ireal-pro_46,Usted Abusó,Jose Carlos Figueiredo,Latin,180,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_46.jams
ireal-pro_47,Veinte Años,Maria Teresa Vera,Bolero,90,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_47.jams
ireal-pro_48,Volver,Gardel Carlos,Tango,130,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_48.jams
ireal-pro_49,Yolanda,Milanés Pablo,Son,160,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_49.jams
ireal-pro_50,9.20 Special,Warren Earl,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_50.jams
ireal-pro_51,26-2,Coltrane John,Medium Up Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_51.jams
ireal-pro_52,52nd Street Theme,Monk Thelonious,Up Tempo Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_52.jams
ireal-pro_53,500 Miles High,Corea Chick,Bossa Nova,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_53.jams
ireal-pro_54,502 Blues,Rowles Jimmy,Waltz,0,"(3, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_54.jams
ireal-pro_55,A Ballad,Mulligan Gerry,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_55.jams
ireal-pro_56,A Beautiful Friendship,Kahn Donald,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_56.jams
ireal-pro_57,A Blossom Fell,Barnes-Cornelius,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_57.jams
ireal-pro_58,A Certain Smile,Fain-Webster,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_58.jams
ireal-pro_59,A Child Is Born,Hanna Roland,Waltz,0,"(3, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_59.jams
ireal-pro_60,A Felicidade,Jobim Antonio-Carlos,Bossa Nova,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_60.jams
ireal-pro_61,A Fine Romance,Kern Jerome,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_61.jams
ireal-pro_62,A Flower Is A Lovesome Thing,Strayhorn Billy,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_62.jams
ireal-pro_63,A Foggy Day,Gershwin George,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_63.jams
ireal-pro_64,A Ghost Of A Chance,Young Victor,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_64.jams
ireal-pro_65,A Kiss To Build A Dream On,Kalmar-Ruby-Hammerstein,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_65.jams
ireal-pro_66,A Little Tear,Deodato-Valle,Bossa Nova,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_66.jams
ireal-pro_67,A Lovely Way To Spend An Evening,McHugh Jimmy,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_67.jams
ireal-pro_68,A Night In Tunisia,Gillespie Dizzy,Latin,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_68.jams
ireal-pro_69,A Nightingale Sang In Berkeley Square,Sherwin Manning,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_69.jams
ireal-pro_70,A Pretty Girl Is Like A Melody,Berlin Irving,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_70.jams
ireal-pro_71,A Shade Of Jade,Henderson Joe,Up Tempo Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_71.jams
ireal-pro_72,A Sleepin' Bee,Arlen Harold,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_72.jams
ireal-pro_73,A Smooth One,Goodman Benny,Medium Up Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_73.jams
ireal-pro_74,A Sound For Sore Ears,Heath Jimmy,Even 8ths,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_74.jams
ireal-pro_75,A Sunday Kind Of Love,Belle-Prima-Leonard-Rhodes,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_75.jams
ireal-pro_76,A Taste Of Honey,Marlow-Scott,Waltz,0,"(3, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_76.jams
ireal-pro_77,A Time For Love,Mandel Johnny,Ballad,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_77.jams
ireal-pro_78,A Tisket A Tasket,Traditional,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_78.jams
ireal-pro_79,A Weaver Of Dreams,Young Victor,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_79.jams
ireal-pro_80,A Wonderful Day Like Today,Bricusse-Newley,Up Tempo Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_80.jams
ireal-pro_81,Ablution,Tristano Lennie,Medium Swing,0,"(4, 4)",../../partitions/ireal-pro/choco/playlists/jams/ireal-pro_81.jams
