0.0	1	1	1.0	0.5	['C#2', 'G#2', 'C#3']	c#	i
0.5	1	1.5	0.25	0.5	['C#2', 'G#2', 'C#3', 'E4', 'G#4', 'C#5']		
1.0	1	2	0.5	0.5	['C#2', 'G#2', 'C#3', 'D#4', 'F#4', 'B#4']	c#	viio6
1.5	1	2.5	0.25	0.5	['C#2', 'G#2', 'C#3', 'D4', 'E#4', 'B4']	c#	viio42/iv
2.0	1	3	0.5	0.5	['C#2', 'G#2', 'C#3', 'C#4', 'D#4', 'F#4', 'A4']	c#	iiø42
2.5	1	3.5	0.25	0.5	['B#3', 'D#4', 'F#4', 'G#4']	c#	V65
3.0	2	1	1.0	0.5	['C#2', 'G#2', 'C#3']	c#	i
3.5	2	1.5	0.25	0.5	['C#2', 'G#2', 'C#3', 'E4', 'G#4', 'C#5']		
4.0	2	2	0.5	0.5	['C#2', 'G#2', 'C#3', 'D#4', 'F#4', 'B#4']	c#	viio6
4.5	2	2.5	0.25	0.5	['C#2', 'G#2', 'C#3', 'D4', 'E#4', 'B4']	c#	viio42/iv
5.0	2	3	0.5	0.5	['C#2', 'G#2', 'C#3', 'C#4', 'D#4', 'F#4', 'A4']	c#	iiø42
5.5	2	3.5	0.25	0.5	['B#3', 'D#4', 'F#4', 'G#4']	c#	V65
6.0	3	1	1.0	0.5	['C#2', 'G#2', 'C#3']	c#	i
6.5	3	1.5	0.25	0.5	['C#2', 'G#2', 'C#3', 'E4', 'G#4', 'C#5', 'E5']		
7.0	3	2	0.5	0.5	['C#2', 'G#2', 'C#3', 'D#4', 'F#4', 'B4', 'D#5']	c#	VII6
7.5	3	2.5	0.25	0.5	['C#2', 'G#2', 'C#3', 'C#4', 'E4', 'A4', 'C#5']	c#	VI6
8.0	3	3	0.5	0.5	['C#2', 'G#2', 'C#3', 'B3', 'E4', 'G#4']	c#	III64
8.5	3	3.5	0.25	0.25	['A#3', 'E4', 'F##4', 'G#4']	c#	viio65/V
8.75	3	3.75	0.125	0.25	['A#3', 'E4', 'F##4', 'A#4']		
9.0	4	1	1.0	0.5	['G#1', 'G#2', 'C#5']	c#	iiø7
9.5	4	1.5	0.25	0.5	['G#1', 'G#2', 'C#4', 'D#4', 'F#4', 'A4', 'C#5']		
10.0	4	2	0.5	0.5	['G#1', 'G#2', 'B#3', 'D#4', 'G#4', 'B#4']	c#	V7
10.5	4	2.5	0.25	0.5	['G#1', 'G#2', 'A3', 'B#3', 'F#4', 'B#4']		
11.0	4	3	0.5	0.5	['G#1', 'G#2', 'G#3', 'B#3', 'E4']		
11.5	4	3.5	0.25	0.5	['F#3', 'B#3', 'D#4']		
12.0	5	1	1.0	0.5	['A1', 'A2']	c#	VI
12.5	5	1.5	0.25	0.5	['A1', 'A2', 'C#4', 'E4', 'A4', 'C#5']		
13.0	5	2	0.5	0.5	['A1', 'A2', 'B3', 'D4', 'E#4', 'G#4', 'B4']	c#	viio43/iv
13.5	5	2.5	0.25	0.5	['A1', 'A2', 'A3', 'C#4', 'F#4', 'A4']	c#	iv6
14.0	5	3	0.5	0.5	['A1', 'A2', 'A3', 'C4', 'E4']	E	iv
14.5	5	3.5	0.25	0.25	['A3', 'C4', 'D#4', 'E4']	E	viio43
14.75	5	3.75	0.125	0.25	['A3', 'C4', 'D#4', 'F#4']		
15.0	6	1	1.0	0.5	['E1', 'E2', 'G#4']	E	I
15.5	6	1.5	0.25	0.5	['E1', 'E2', 'G#3', 'B3', 'G#4']		
16.0	6	2	0.5	0.5	['E1', 'E2', 'G#3', 'B3', 'F#4', 'G#4']		
16.5	6	2.5	0.25	0.5	['E1', 'E2', 'G#3', 'B3', 'E4', 'G#4']		
17.0	6	3	0.5	0.5	['E1', 'E2', 'G#3', 'B3', 'D#4']		
