key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
e	[15.73, 3.97, 1.98, 7.93, 74.17, 0.0, 24.74, 32.73, 3.97, 29.83, 3.96, 82.68]	0.0	66.0	65.5	1	33	32
G	[0.0, 5.94, 7.92, 0.0, 11.88, 0.0, 0.0, 10.56, 0.0, 5.94, 0.0, 12.87]	66.0	78.0	11.88	34	39	5
b	[3.63, 9.61, 15.21, 0.0, 12.24, 1.98, 29.44, 8.94, 1.98, 0.0, 4.97, 26.76]	78.0	104.0	25.79	40	52	12
G	[6.04, 5.62, 20.83, 3.96, 4.46, 0.0, 4.96, 21.32, 0.0, 11.91, 0.0, 15.87]	104.0	126.0	21.82	53	63	10
e	[1.98, 0.0, 0.0, 0.99, 11.4, 0.0, 1.0, 8.17, 0.0, 1.98, 0.0, 5.95]	126.0	134.0	7.93	64	67	3
G	[11.57, 0.0, 21.67, 4.95, 3.8, 0.0, 8.92, 18.84, 0.0, 15.85, 0.0, 12.26]	134.0	156.0	21.82	68	78	10
e	[3.32, 1.98, 0.0, 0.99, 5.96, 0.0, 6.62, 8.95, 0.0, 7.63, 3.96, 35.1]	156.0	176.0	19.86	79	88	9
G	[0.0, 5.94, 7.92, 0.0, 11.88, 0.0, 0.0, 10.56, 0.0, 5.94, 0.0, 12.87]	176.0	188.0	11.88	89	94	5
b	[3.63, 9.6, 15.21, 0.0, 12.22, 1.98, 28.44, 8.93, 1.98, 0.0, 4.97, 26.75]	188.0	214.0	25.78	95	107	12
e	[33.46, 1.99, 1.98, 15.84, 98.09, 0.0, 16.4, 53.57, 3.97, 20.38, 1.65, 71.76]	214.0	280.0	65.49	108	141	33
