key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Eb	[0.0, 1.5, 7.0, 41.75, 0.0, 6.0, 0.0, 17.0, 1.0, 0.0, 37.25, 0.0]	0.0	36.0	36.0	1	12	11
Db	[7.0, 12.0, 0.0, 7.0, 0.0, 10.5, 6.0, 0.0, 18.0, 0.0, 0.0, 0.0]	36.0	48.0	12.0	13	16	3
Eb	[9.5, 1.0, 3.5, 43.5, 1.5, 7.5, 13.5, 16.5, 8.0, 6.0, 46.0, 3.0]	48.0	86.5	38.5	17	29	12
Db	[0.5, 8.0, 0.0, 0.5, 0.0, 4.5, 0.5, 0.0, 8.0, 0.0, 0.5, 0.0]	86.5	91.5	5.0	29	31	2
Gb	[8.5, 20.0, 2.5, 4.5, 0.0, 1.5, 26.5, 0.0, 7.5, 6.5, 10.0, 0.5]	91.5	110.5	19.0	31	37	6
Eb	[4.0, 2.0, 19.5, 66.75, 0.0, 32.5, 0.0, 27.5, 19.0, 3.0, 105.25, 1.0]	110.5	171.0	60.5	37	57	20
Db	[7.0, 12.0, 0.0, 7.0, 0.0, 10.5, 6.0, 0.0, 18.0, 0.0, 0.0, 0.0]	171.0	183.0	12.0	58	61	3
Eb	[9.5, 1.0, 3.5, 43.5, 1.5, 7.5, 11.5, 16.5, 8.0, 6.0, 46.0, 3.0]	183.0	221.5	38.5	62	74	12
Db	[0.5, 8.0, 0.0, 0.5, 0.0, 4.5, 0.5, 0.0, 7.5, 0.0, 0.5, 0.0]	221.5	226.5	5.0	74	76	2
Gb	[8.5, 21.0, 1.5, 4.0, 0.0, 1.5, 27.0, 0.0, 7.5, 6.5, 9.5, 0.5]	226.5	245.5	19.0	76	82	6
Eb	[4.0, 0.0, 13.0, 42.0, 0.0, 26.5, 0.0, 24.0, 18.0, 3.0, 78.0, 1.0]	245.5	280.0	34.5	82	94	12
