WorkID,Title
1,Gute Nacht
2,Die Wetterfahne
3,Gefror'ne Tränen
4,Erstarrung
5,Der Lindenbaum
6,Wasserflut
7,Auf dem Flusse
8,Rückblick
9,Irrlicht
10,Rast
11,Frühlingstraum
12,Einsamkeit
13,Die Post
14,Der greise Kopf
15,Die Krähe
16,Letzte Hoffnung
17,Im Dorfe
18,Der stürmische Morgen
19,Täuschung
20,Der Wegweiser
21,Das Wirtshaus
22,Mut
23,Die Nebensonnen
24,Der Leiermann
