path	filename	extension	md5	composer	workTitle	composed_start	composed_end	workNumber	movementNumber	movementTitle	label_count	KeySig	TimeSig	musescore	source	typesetter	annotator	reviewers	wikidata	viaf	musicbrainz	imslp
./K279-1.mscx	K279-1	.mscx	adb95d35ce28db355398cc77a8ebf561	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1775	1775	K279	1	Allegro	246		4/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_279_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2194957		https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)
./K279-2.mscx	K279-2	.mscx	90bb2320d0ee3f9e20c66ce935d65860	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1775	1775	K279	2	Andante	160	-1	3/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_279_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2194958		https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)
./K279-3.mscx	K279-3	.mscx	e8a29edc76f30cc8a690357a9b93bb78	Wolfgang Amadeus Mozart	Piano Sonata no. 1 in C major	1775	1775	K279	3	Allegro	320		2/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_279_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2194959		https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e	https://imslp.org/wiki/Piano_Sonata_No.1_in_C_major,_K.279/189d_(Mozart,_Wolfgang_Amadeus)
./K280-1.mscx	K280-1	.mscx	c5955abc1759f200aebcdf968b5097dc	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1775	1775	K280	1	Allegro assai	237	-1	3/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_280_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q954538	https://viaf.org/viaf/185925450	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d2	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)
./K280-2.mscx	K280-2	.mscx	f244c158dfb0a5552447ae3705ef1ad3	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1775	1775	K280	2	Adagio	122	-4	6/8	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_280_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q954539	https://viaf.org/viaf/185925451	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d3	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)
./K280-3.mscx	K280-3	.mscx	25d25d849c3a7fed51212c414a9afd58	Wolfgang Amadeus Mozart	Piano Sonata no. 2 in F major	1775	1775	K280	3	Presto	199	-1	3/8	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_280_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q954540	https://viaf.org/viaf/185925452	https://musicbrainz.org/work/52912ca4-855d-451d-9abb-d3e3a353e6d4	https://imslp.org/wiki/Piano_Sonata_No.2_in_F_major,_K.280/189e_(Mozart,_Wolfgang_Amadeus)
./K281-1.mscx	K281-1	.mscx	64080cbe8a4e112321d1de65e725ae4f	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1775	1775	K281	1	Allegro	202	-2	2/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_281_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2061529		https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)
./K281-2.mscx	K281-2	.mscx	1b1d3bbd6a85fa82068a7a0caff02b6a	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1775	1775	K281	2	Andante amoroso	153	-3	3/8	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_281_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2061530		https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)
./K281-3.mscx	K281-3	.mscx	24d4e8a88546a1b3a93060e41f87a4f9	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	1775	1775	K281	3	Rondeau – Allegro	375	-2	2/2	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_281_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q2061531		https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c	https://imslp.org/wiki/Piano_Sonata_No.3_in_B-flat_major,_K.281/189f_(Mozart,_Wolfgang_Amadeus)
./K282-1.mscx	K282-1	.mscx	bbfb14e2470ec01d6ce350e5e63c97dc	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	1775	1775	K282	1	Adagio	106	-3	4/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_282_1.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q3964687		https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)
./K282-2.mscx	K282-2	.mscx	27288d2d2ca632c9001f949d85ef8e6e	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	1775	1775	K282	2	Menuetto I and Menuetto II	122	-2, -3	3/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_282_2.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q3964688		https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)
./K282-3.mscx	K282-3	.mscx	3521c98cf5aa1f25822345011239a5aa	Wolfgang Amadeus Mozart	Piano Sonata no. 4 in E flat major	1775	1775	K282	3	Allegro	164	-3	2/4	3.4.2	http://www.tobis-notenarchiv.de/mozart/KV_282_3.cap	Tobias Schölkopf	Uli Kneisel	Johannes Hentschel, Markus Neuwirth	http://www.wikidata.org/entity/Q3964689		https://musicbrainz.org/work/97cc4159-c124-48a6-92ae-d05e8175cb2b	https://imslp.org/wiki/Piano_Sonata_No.4_in_E-flat_major,_K.282/189g_(Mozart,_Wolfgang_Amadeus)
