key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B	[0.0, 8.0, 0.0, 10.0, 12.0, 0.0, 12.5, 0.0, 7.5, 0.0, 10.0, 11.0]	0.0	15.0	15.0	1	5	4
G	[3.0, 1.5, 5.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.5, 0.0, 0.5]	15.0	18.0	3.0	6	6	0
c#	[7.0, 0.0, 0.0, 11.0, 0.0, 0.0, 4.5, 0.0, 7.0, 2.0, 2.5, 0.0]	18.0	24.0	6.0	7	8	1
Eb	[6.75, 0.0, 4.25, 7.0, 0.0, 0.0, 0.0, 6.0, 5.0, 0.0, 6.25, 0.0]	24.0	30.0	6.0	9	10	1
C#	[4.25, 7.0, 0.0, 0.0, 0.0, 6.0, 5.0, 0.0, 7.25, 0.0, 6.75, 0.0]	30.0	36.0	6.0	11	12	1
B	[0.0, 0.0, 0.0, 18.5, 0.0, 0.0, 24.5, 0.0, 12.0, 0.0, 1.0, 17.5]	36.0	48.0	12.0	13	16	3
G	[7.5, 0.0, 8.25, 0.0, 8.5, 0.0, 6.5, 9.5, 0.0, 2.25, 0.0, 6.25]	48.0	57.0	9.0	17	19	2
B	[0.0, 6.0, 0.0, 13.5, 10.0, 2.0, 19.5, 1.0, 7.0, 0.0, 10.0, 12.0]	57.0	72.0	15.0	20	24	4
E	[0.0, 2.32, 0.0, 9.99, 2.0, 0.0, 2.5, 2.49, 3.5, 5.0, 2.97, 9.67]	72.0	79.0	6.99	25	27	2
B	[0.0, 7.84, 0.0, 23.33, 15.0, 0.0, 23.25, 0.0, 12.25, 0.0, 14.25, 23.5]	79.0	101.0	22.0	27	34	7
E	[0.0, 1.33, 0.0, 9.98, 2.0, 0.0, 3.5, 2.49, 3.5, 5.0, 0.99, 9.67]	101.0	108.0	6.99	35	37	2
B	[0.0, 1.84, 0.0, 8.33, 13.0, 0.0, 16.75, 0.0, 11.75, 0.0, 9.25, 17.5]	108.0	121.0	13.0	37	41	4
G#	[0.0, 6.0, 0.0, 7.0, 0.0, 0.25, 0.0, 3.25, 0.0, 0.0, 0.0, 0.0]	121.0	124.0	3.0	42	42	0
f#	[4.0, 3.0, 1.0, 1.0, 0.0, 2.0, 4.0, 0.0, 15.5, 4.5, 0.0, 8.0]	124.0	131.0	7.0	43	45	2
B	[0.0, 0.0, 0.0, 3.5, 0.0, 0.0, 5.0, 0.5, 0.5, 0.0, 0.0, 3.5]	131.0	134.0	3.0	45	46	1
G	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 10.0, 0.0, 0.0, 0.0, 5.0]	134.0	139.0	5.0	46	47	1
B	[0.0, 9.0, 0.0, 13.5, 9.5, 3.0, 16.0, 0.0, 13.0, 0.0, 14.0, 14.0]	139.0	157.0	18.0	48	53	5
E	[0.0, 1.0, 0.0, 8.0, 5.0, 0.0, 3.5, 4.5, 1.5, 5.0, 0.0, 9.0]	157.0	163.0	6.0	54	55	1
g#	[0.0, 4.5, 0.0, 5.0, 1.5, 0.0, 0.0, 4.0, 0.0, 0.0, 3.0, 0.0]	163.0	166.0	3.0	56	56	0
B	[0.0, 6.67, 0.0, 31.47, 9.0, 0.0, 34.5, 2.99, 18.0, 3.0, 8.99, 53.16]	166.0	194.0	27.98	57	66	9
C	[0.0, 0.0, 10.5, 0.0, 0.0, 12.0, 0.0, 10.5, 1.0, 4.5, 0.0, 13.0]	194.0	200.0	6.0	67	68	1
B	[0.0, 0.0, 0.0, 24.0, 0.0, 0.0, 48.0, 0.0, 0.0, 0.0, 0.0, 24.0]	200.0	210.0	10.0	69	72	3
