key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Eb	[3.0, 0.0, 3.0, 23.0, 0.0, 2.0, 0.0, 11.5, 2.0, 0.0, 25.0, 0.0]	0.0	12.5	12.5	1	5	4
bb	[1.5, 12.5, 8.0, 5.5, 8.0, 16.0, 11.5, 1.0, 3.0, 5.5, 26.5, 1.5]	12.5	30.0	17.5	5	10	5
f	[9.0, 6.0, 0.0, 0.0, 3.0, 4.0, 0.0, 3.0, 3.0, 0.0, 12.0, 0.0]	30.0	36.0	6.0	11	12	1
Eb	[9.0, 1.5, 14.0, 20.75, 1.5, 11.0, 3.0, 24.0, 10.0, 4.0, 35.5, 2.0]	36.0	60.5	24.5	13	21	8
bb	[1.5, 12.5, 8.0, 5.5, 8.0, 17.0, 13.0, 1.0, 3.0, 4.5, 25.0, 1.5]	60.5	78.0	17.5	21	26	5
f	[9.0, 6.0, 0.0, 0.0, 3.0, 4.0, 0.0, 3.0, 3.0, 0.0, 12.0, 0.0]	78.0	84.0	6.0	27	28	1
Eb	[11.0, 1.5, 17.0, 21.25, 1.5, 10.5, 3.0, 24.0, 10.0, 4.0, 34.0, 2.0]	84.0	108.5	24.5	29	37	8
bb	[1.5, 12.5, 8.0, 5.5, 8.0, 17.0, 13.0, 1.0, 3.0, 4.5, 25.0, 1.5]	108.5	126.0	17.5	37	42	5
f	[9.0, 6.0, 0.0, 0.0, 3.0, 4.0, 0.0, 3.0, 3.0, 0.0, 12.0, 0.0]	126.0	132.0	6.0	43	44	1
Eb	[5.0, 1.5, 10.0, 16.75, 1.5, 9.0, 3.0, 15.5, 8.0, 4.0, 25.5, 2.0]	132.0	149.0	17.0	45	50	5
