key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d	[0.0, 6.0, 9.0, 0.0, 7.5, 9.0, 1.0, 4.0, 0.0, 29.5, 4.0, 0.0]	0.0	19.0	19.0	1	5	4
g	[2.0, 0.0, 17.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 3.0, 4.5, 0.0]	19.0	28.0	9.0	5	7	2
C	[3.5, 0.0, 5.5, 0.0, 0.0, 4.5, 0.0, 4.0, 0.0, 0.0, 0.0, 4.0]	28.0	32.0	4.0	8	8	0
F	[17.5, 1.0, 4.5, 0.0, 6.0, 16.0, 0.0, 2.5, 0.0, 13.0, 7.0, 0.0]	32.0	48.0	16.0	9	12	3
Bb	[3.0, 1.0, 5.5, 2.5, 1.0, 6.0, 2.0, 0.0, 0.0, 3.0, 9.0, 0.0]	48.0	57.0	9.0	13	15	2
g	[2.0, 1.0, 5.0, 0.0, 3.0, 2.0, 3.0, 9.0, 0.0, 6.25, 2.0, 1.0]	57.0	64.0	7.0	15	16	1
d	[0.0, 10.5, 24.5, 0.0, 11.5, 17.5, 1.0, 6.0, 0.5, 50.0, 6.0, 0.0]	64.0	99.0	35.0	17	25	8
g	[2.0, 0.0, 21.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 3.0, 4.5, 0.0]	99.0	108.0	9.0	25	27	2
C	[3.5, 0.0, 5.5, 0.0, 0.0, 4.5, 0.0, 4.0, 0.0, 0.0, 0.0, 4.0]	108.0	112.0	4.0	28	28	0
F	[19.5, 0.0, 4.5, 1.0, 6.0, 13.25, 0.75, 3.5, 0.0, 13.5, 6.5, 0.0]	112.0	128.0	16.0	29	32	3
Bb	[2.0, 1.0, 4.5, 2.0, 1.0, 4.25, 1.75, 0.0, 0.0, 2.0, 10.0, 0.0]	128.0	135.0	7.0	33	34	1
g	[4.0, 1.0, 4.0, 3.0, 2.0, 2.0, 4.0, 8.0, 1.0, 5.0, 4.0, 1.0]	135.0	144.0	9.0	34	36	2
d	[0.0, 6.5, 15.5, 0.0, 8.5, 10.0, 0.0, 3.5, 0.5, 28.0, 2.0, 0.0]	144.0	160.0	16.0	37	41	4
