key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c#	[4.0, 76.75, 0.0, 11.0, 21.75, 0.0, 12.0, 0.0, 42.75, 4.0, 0.0, 0.0]	0.0	43.0	43.0	1	11	10
g#	[0.0, 11.0, 0.0, 14.5, 7.5, 0.0, 1.0, 5.5, 9.0, 0.0, 7.0, 8.5]	43.0	59.0	16.0	11	15	4
E	[0.0, 1.5, 0.0, 2.0, 17.5, 0.0, 3.5, 0.0, 11.5, 4.0, 0.0, 19.0]	59.0	75.0	16.0	15	19	4
f#	[0.0, 27.0, 13.5, 0.0, 2.0, 14.0, 31.0, 0.0, 9.5, 13.0, 0.0, 24.0]	75.0	107.0	32.0	19	27	8
g#	[0.0, 20.0, 0.0, 8.0, 12.0, 0.0, 2.0, 12.0, 13.5, 0.0, 6.0, 1.5]	107.0	123.0	16.0	27	31	4
G#	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.5, 0.0]	123.0	124.0	1.0	31	31	0
E	[11.5, 4.0, 0.0, 22.5, 0.0, 1.5, 0.0, 2.0, 14.5, 0.0, 3.0, 0.0]	124.0	139.0	15.0	32	35	3
c#	[5.0, 15.0, 0.0, 5.0, 6.0, 0.0, 5.0, 0.0, 19.0, 8.0, 0.0, 0.0]	139.0	152.0	13.0	35	38	3
b	[0.0, 6.0, 0.0, 0.0, 6.0, 0.0, 0.0, 4.0, 3.0, 0.0, 8.0, 0.0]	152.0	156.0	4.0	39	39	0
c#	[6.0, 60.0, 6.5, 10.0, 12.0, 19.0, 16.0, 0.0, 31.5, 10.0, 0.0, 14.0]	156.0	188.0	32.0	40	47	7
D	[0.0, 11.0, 10.0, 0.0, 9.0, 0.0, 4.0, 8.0, 0.0, 6.0, 0.0, 2.0]	188.0	196.0	8.0	48	49	1
c#	[5.0, 11.0, 0.0, 10.0, 4.0, 0.0, 18.0, 0.0, 7.0, 13.0, 0.0, 0.0]	196.0	208.0	12.0	50	52	2
Db	[18.0, 67.0, 9.0, 35.5, 2.0, 42.25, 32.25, 9.5, 87.0, 6.0, 26.25, 4.25]	208.0	293.0	85.0	53	67	14
