key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
A	[0.0, 18.0, 8.5, 0.0, 19.5, 1.0, 13.0, 0.0, 5.75, 28.75, 0.0, 6.5]	0.0	42.5	42.5	0	14	14
e	[1.01, 0.0, 0.0, 0.0, 4.02, 0.0, 1.01, 2.5, 0.0, 1.0, 0.51, 8.0]	42.5	50.0	7.51	15	17	2
d	[0.0, 1.25, 4.01, 0.0, 1.01, 1.5, 0.0, 0.5, 0.51, 1.5, 0.51, 0.25]	50.0	54.5	4.51	17	18	1
g	[1.0, 0.51, 5.5, 1.01, 0.0, 0.0, 0.0, 3.18, 0.0, 1.01, 2.0, 0.0]	54.5	60.0	5.51	19	20	1
a	[7.5, 0.0, 9.0, 1.0, 16.25, 6.0, 0.0, 0.0, 5.0, 29.75, 3.0, 6.0]	60.0	78.5	18.5	20	26	6
A	[0.0, 10.75, 5.75, 0.0, 22.5, 0.0, 2.0, 2.0, 4.5, 31.0, 0.0, 3.25]	78.5	98.5	20.0	27	36	9
a	[5.0, 0.0, 5.5, 0.0, 7.25, 6.75, 0.0, 0.5, 1.5, 29.0, 0.0, 1.0]	98.5	112.5	14.0	37	43	6
A	[0.0, 19.0, 8.5, 0.0, 19.5, 1.0, 13.0, 0.0, 5.75, 35.75, 0.0, 6.5]	112.5	157.5	45.0	44	58	14
e	[1.01, 0.0, 0.0, 0.0, 4.02, 0.0, 1.01, 2.5, 0.0, 1.0, 0.51, 8.0]	157.5	165.0	7.51	59	61	2
d	[0.0, 1.25, 4.01, 0.0, 1.01, 1.5, 0.0, 0.5, 0.51, 1.5, 0.51, 0.25]	165.0	169.5	4.51	61	62	1
g	[1.0, 0.51, 5.5, 1.01, 0.0, 0.0, 0.0, 3.01, 0.51, 1.01, 2.0, 0.0]	169.5	175.0	5.51	63	64	1
a	[7.5, 0.0, 9.0, 1.0, 16.25, 6.5, 0.0, 0.0, 5.0, 29.75, 3.0, 6.0]	175.0	193.5	18.5	64	70	6
A	[0.0, 10.75, 5.75, 0.0, 22.5, 0.0, 2.0, 2.0, 4.5, 31.0, 0.0, 3.25]	193.5	213.5	20.0	71	80	9
a	[9.0, 0.0, 5.5, 0.0, 11.75, 5.75, 0.5, 0.5, 1.5, 37.0, 0.0, 1.0]	213.5	227.5	14.0	81	88	7
