key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b	[0.0, 0.25, 2.25, 0.0, 0.0, 0.0, 2.25, 0.5, 0.0, 0.0, 0.0, 4.25]	0.0	2.5	2.5	0	1	1
D	[0.0, 1.25, 9.25, 0.0, 1.25, 0.0, 4.5, 0.25, 0.0, 6.75, 0.0, 0.25]	2.5	8.0	5.5	2	4	2
b	[0.0, 0.25, 2.25, 0.0, 0.0, 0.0, 2.25, 0.5, 0.0, 0.0, 0.0, 4.25]	8.0	10.5	2.5	4	5	1
D	[0.0, 0.25, 4.75, 0.0, 0.25, 0.0, 3.0, 0.25, 0.0, 2.25, 0.0, 0.25]	10.5	13.5	3.0	6	7	1
f#	[0.0, 3.5, 0.0, 0.0, 0.0, 0.5, 3.5, 0.0, 0.5, 2.0, 0.0, 0.0]	13.5	16.0	2.5	7	8	1
e	[1.0, 0.5, 0.0, 1.75, 3.75, 0.0, 2.25, 3.75, 0.0, 2.25, 0.0, 6.5]	16.0	21.0	5.0	8	11	3
G	[1.25, 0.0, 4.75, 0.0, 0.5, 0.0, 0.75, 2.5, 0.0, 1.5, 0.0, 3.25]	21.0	24.25	3.25	11	12	1
D	[0.0, 4.5, 4.25, 0.0, 3.0, 0.0, 6.25, 2.5, 0.0, 8.75, 0.0, 3.25]	24.25	32.0	7.75	12	16	4
b	[0.0, 0.25, 2.25, 0.0, 0.0, 0.0, 2.25, 0.5, 0.0, 0.0, 0.0, 4.25]	32.0	34.5	2.5	16	17	1
D	[0.0, 0.0, 3.5, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0]	34.5	36.0	1.5	18	18	0
b	[0.0, 0.0, 1.25, 0.0, 0.25, 0.0, 2.0, 0.25, 0.0, 0.0, 0.5, 1.25]	36.0	37.5	1.5	18	19	1
f#	[0.0, 3.5, 0.0, 0.0, 0.0, 0.5, 3.5, 0.0, 0.5, 2.0, 0.0, 0.0]	37.5	40.0	2.5	19	20	1
b	[0.0, 0.25, 2.25, 0.0, 0.0, 0.0, 2.25, 0.5, 0.0, 0.0, 0.25, 4.25]	40.0	42.5	2.5	20	21	1
D	[0.0, 2.0, 12.62, 0.0, 0.88, 0.0, 8.5, 1.25, 0.0, 12.5, 0.0, 1.0]	42.5	51.5	9.0	22	26	4
